# Generated with codec_test.py (time: 184min)

Tool versions:
+ mencoder 2:1.0~rc2-0ubuntu13
+ mkvmerge v2.0.2
+ mp4creator 1.6
+ mplayer 1.0rc2-4.2.3
+ ogmmerge v1.5
+ undvd 0.5.1

+------------+------------+------------+------------+
| container  | vcodec     | acodec     | status     |
| flv        | dvvideo    | flac       | failed     |
| flv        | dvvideo    | mp2        | failed     |
| flv        | dvvideo    | mp3        | failed     |
| flv        | dvvideo    | sonic      | failed     |
| flv        | dvvideo    | sonicls    | failed     |
| flv        | dvvideo    | vorbis     | failed     |
| flv        | dvvideo    | wmav1      | failed     |
| flv        | dvvideo    | wmav2      | failed     |
| flv        | ffv1       | aac        | failed     |
| flv        | ffv1       | ac3        | failed     |
| flv        | ffv1       | flac       | failed     |
| flv        | ffv1       | mp2        | failed     |
| flv        | ffv1       | mp3        | failed     |
| flv        | ffv1       | sonic      | failed     |
| flv        | ffv1       | sonicls    | failed     |
| flv        | ffv1       | vorbis     | failed     |
| flv        | ffv1       | wmav1      | failed     |
| flv        | ffv1       | wmav2      | failed     |
| flv        | flv        | aac        | failed     |
| flv        | flv        | ac3        | failed     |
| flv        | flv        | flac       | failed     |
| flv        | flv        | mp2        | failed     |
| flv        | flv        | mp3        | ok         |
| flv        | flv        | sonic      | failed     |
| flv        | flv        | sonicls    | failed     |
| flv        | flv        | vorbis     | failed     |
| flv        | flv        | wmav1      | failed     |
| flv        | flv        | wmav2      | failed     |
| flv        | h261       | aac        | failed     |
| flv        | h261       | ac3        | failed     |
| flv        | h261       | flac       | failed     |
| flv        | h261       | mp2        | failed     |
| flv        | h261       | mp3        | failed     |
| flv        | h261       | sonic      | failed     |
| flv        | h261       | sonicls    | failed     |
| flv        | h261       | vorbis     | failed     |
| flv        | h261       | wmav1      | failed     |
| flv        | h261       | wmav2      | failed     |
| flv        | h263       | aac        | failed     |
| flv        | h263       | ac3        | failed     |
| flv        | h263       | flac       | failed     |
| flv        | h263       | mp2        | failed     |
| flv        | h263       | mp3        | failed     |
| flv        | h263       | sonic      | failed     |
| flv        | h263       | sonicls    | failed     |
| flv        | h263       | vorbis     | failed     |
| flv        | h263       | wmav1      | failed     |
| flv        | h263       | wmav2      | failed     |
| flv        | h263p      | aac        | failed     |
| flv        | h263p      | ac3        | failed     |
| flv        | h263p      | flac       | failed     |
| flv        | h263p      | mp2        | failed     |
| flv        | h263p      | mp3        | failed     |
| flv        | h263p      | sonic      | failed     |
| flv        | h263p      | sonicls    | failed     |
| flv        | h263p      | vorbis     | failed     |
| flv        | h263p      | wmav1      | failed     |
| flv        | h263p      | wmav2      | failed     |
| flv        | h264       | aac        | failed     |
